Name,DateTime,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,HasName,Year,Month,Weekday,Hour,WeekofYear,DayofMonth,isHoliday,AgeinDays,LifeStage,BernoulliSex,AvgWeight(pounds),SizeScore(1to5),Intelligent,Friendliness,AvgAge,MixType,Hair,BlendedColor,ReducedPattern,ID
Bro,2014-01-29 16:56:00,Dog,Intact Male,2 years,Boston Terrier/Chihuahua Shorthair,Black/White,1.0,2014,1,2,16,5,29,True,730.0,Young Adult,Intact Male,12.0,2.0,3.0,4.0,14.0,Cross,Short,grey,BiColor,3505
Buddy,2014-04-30 12:57:00,Dog,Intact Male,12 years,Chinese Sharpei/Labrador Retriever,Red,1.0,2014,4,2,12,18,30,False,4380.0,Geriatric,Intact Male,44.0,3.0,4.0,3.0,12.0,Cross,Short,red,Solid,3506
,2014-02-25 16:28:00,Dog,Neutered Male,3 months,Dachshund/Chihuahua Shorthair,Black/Tan,0.0,2014,2,1,16,9,25,False,93.0,Infant,Neutered Male,13.0,1.0,3.0,3.0,15.0,Cross,Short,darkolivegreen,BiColor,3507
,2014-12-06 09:00:00,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby/White,0.0,2014,12,5,9,49,6,True,186.0,Puppy/Kitten,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,khaki,Tabby,3508
Lily,2013-12-21 16:58:00,Dog,Spayed Female,2 years,Australian Kelpie Mix,Black/White,1.0,2013,12,5,16,51,21,True,730.0,Young Adult,Spayed Female,39.0,3.0,4.0,2.0,14.0,Mix,Short,grey,BiColor,3509
,2013-10-29 13:47:00,Dog,Intact Male,9 years,Chihuahua Shorthair Mix,Brown,0.0,2013,10,1,13,44,29,False,3285.0,Senior,Intact Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,brown,Solid,3510
,2015-04-28 19:16:00,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,0.0,2015,4,1,19,18,28,False,730.0,Young Adult,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,black,Solid,3511
,2015-09-16 17:37:00,Dog,Neutered Male,11 months,Maltese Mix,Buff,0.0,2015,9,2,17,38,16,False,341.0,Puppy/Kitten,Neutered Male,6.0,1.0,2.0,4.0,17.0,Mix,Medium,tan,Solid,3512
Bullwinkle,2013-10-30 12:02:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,1.0,2013,10,2,12,44,30,False,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,orange,Tabby,3513
Daisy,2014-07-07 18:03:00,Dog,Spayed Female,1 month,Labrador Retriever/Blue Lacy,White/Black,1.0,2014,7,0,18,28,7,True,31.0,Infant,Spayed Female,58.0,4.0,4.0,3.0,13.0,Cross,Short,grey,BiColor,3514
,2014-06-27 16:53:00,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,0.0,2014,6,4,16,26,27,False,93.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,khaki,Tabby,3515
Jasmine,2014-07-29 16:07:00,Dog,Spayed Female,1 year,Labrador Retriever/Chinese Sharpei,White,1.0,2014,7,1,16,31,29,True,365.0,Puppy/Kitten,Spayed Female,44.0,3.0,4.0,3.0,12.0,Cross,Short,white,Solid,3516
Gidget,2014-08-09 12:23:00,Dog,Spayed Female,6 months,Pit Bull Mix,Blue/White,1.0,2014,8,5,12,32,9,True,186.0,Puppy/Kitten,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,silver,BiColor,3517
Sweetness,2015-10-02 12:51:00,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Black,1.0,2015,10,4,12,40,2,False,124.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,12.0,Mix,Medium,black,Solid,3518
,2014-11-04 09:00:00,Cat,Unknown,3 months,Domestic Shorthair Mix,White/Black,0.0,2014,11,1,9,45,4,False,93.0,Infant,Intact Male,9.0,1.0,3.0,3.0,11.0,Mix,Short,grey,BiColor,3519
Pierre,2015-11-01 14:23:00,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue,1.0,2015,11,6,14,44,1,True,1095.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,11.0,Mix,Short,grey,Solid,3520
Donnie,2013-10-10 13:17:00,Cat,Neutered Male,17 years,Domestic Shorthair Mix,Brown Tabby/White,1.0,2013,10,3,13,41,10,False,6205.0,Geriatric,Neutered Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,rosybrown,Tabby,3521
,2014-06-25 09:00:00,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby,0.0,2014,6,2,9,26,25,False,730.0,Young Adult,Intact Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,brown,Tabby,3522
Tonka,2014-04-23 12:25:00,Dog,Neutered Male,1 year,American Bulldog/Pit Bull,Tan/White,1.0,2014,4,2,12,17,23,False,365.0,Puppy/Kitten,Neutered Male,52.0,4.0,2.0,2.0,11.0,Cross,Short,wheat,BiColor,3523
Isabelle,2013-11-04 14:05:00,Cat,Spayed Female,6 years,Domestic Medium Hair Mix,Black,1.0,2013,11,0,14,45,4,False,2190.0,Adult,Spayed Female,9.0,1.0,3.0,3.0,9.0,Mix,Medium,black,Solid,3524
,2015-06-16 09:00:00,Cat,Intact Male,4 months,Domestic Shorthair Mix,White/Brown Tabby,0.0,2015,6,1,9,25,16,False,124.0,Infant,Intact Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,rosybrown,Tabby,3525
Laurel,2015-05-31 00:00:00,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,1.0,2015,5,6,0,22,31,True,730.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,Not_clear,TriColor,3526
Stripe,2013-12-22 12:58:00,Cat,Neutered Male,3 months,Siamese/Domestic Shorthair,Black,1.0,2013,12,6,12,51,22,True,93.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,12.0,Cross,Short,black,Solid,3527
Shelby,2013-11-09 19:20:00,Dog,Spayed Female,14 years,Chow Chow Mix,Sable,1.0,2013,11,5,19,45,9,True,5110.0,Geriatric,Spayed Female,55.0,3.0,2.0,2.0,14.0,Mix,Medium,brown,Solid,3528
Rex,2015-05-31 15:35:00,Dog,Intact Male,2 years,Pit Bull Mix,White/Brown,1.0,2015,5,6,15,22,31,True,730.0,Young Adult,Intact Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,rosybrown,BiColor,3529
,2014-05-12 08:00:00,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Brown Tabby,0.0,2014,5,0,8,20,12,False,365.0,Puppy/Kitten,Neutered Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,rosybrown,Tabby,3530
Peaches,2015-06-01 16:42:00,Dog,Intact Female,1 year,Pharaoh Hound Mix,Brown/White,1.0,2015,6,0,16,23,1,False,365.0,Puppy/Kitten,Intact Female,50.0,4.0,3.0,2.0,13.0,Mix,Short,rosybrown,BiColor,3531
,2014-12-07 11:32:00,Dog,Neutered Male,3 months,Great Pyrenees Mix,White/Tan,0.0,2014,12,6,11,49,7,True,93.0,Infant,Neutered Male,100.0,5.0,2.0,3.0,11.0,Mix,Short,wheat,BiColor,3532
Martha W,2015-07-10 17:25:00,Cat,Spayed Female,2 months,Manx Mix,Calico,1.0,2015,7,4,17,28,10,True,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,12.0,Mix,Medium,Not_clear,TriColor,3533
Daisy,2015-07-23 18:34:00,Dog,Spayed Female,2 years,Staffordshire Mix,Blue/White,1.0,2015,7,3,18,30,23,True,730.0,Young Adult,Spayed Female,31.0,2.0,2.0,4.0,13.0,Mix,Short,silver,BiColor,3534
Lexi,2013-10-07 18:00:00,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Black/Tan,1.0,2013,10,0,18,41,7,False,124.0,Infant,Spayed Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,darkolivegreen,BiColor,3535
,2014-10-31 15:57:00,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White,0.0,2014,10,4,15,44,31,True,28.0,Infant,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,grey,BiColor,3536
Stevie,2014-08-27 09:08:00,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Lilac Point/White,1.0,2014,8,2,9,35,27,True,31.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,silver,Point,3537
,2014-11-27 09:00:00,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,0.0,2014,11,3,9,48,27,True,730.0,Young Adult,Intact Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,Not_clear,TriColor,3538
,2014-07-11 09:00:00,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue,0.0,2014,7,4,9,28,11,True,124.0,Infant,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,grey,Solid,3539
,2015-04-20 18:00:00,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Lynx Point,0.0,2015,4,0,18,17,20,False,14.0,Infant,Intact Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,Not_clear,Point,3540
,2015-03-19 12:01:00,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.0,2015,3,3,12,12,19,False,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,brown,Tabby,3541
Moose,2016-01-10 00:00:00,Dog,Neutered Male,3 months,Pit Bull Mix,Chocolate/White,1.0,2016,1,6,0,1,10,True,93.0,Infant,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,rosybrown,BiColor,3542
Mickey,2014-09-11 14:22:00,Cat,Intact Female,5 months,Domestic Shorthair Mix,Black,1.0,2014,9,3,14,37,11,False,155.0,Infant,Intact Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,black,Solid,3543
Katie,2014-09-25 18:49:00,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,1.0,2014,9,3,18,39,25,False,31.0,Infant,Intact Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,rosybrown,Tabby,3544
Rosco,2014-12-20 19:02:00,Dog,Neutered Male,1 year,Pit Bull Mix,Red/White,1.0,2014,12,5,19,51,20,True,365.0,Puppy/Kitten,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,salmon,BiColor,3545
Mimi,2013-12-16 18:43:00,Dog,Intact Female,12 years,Boxer/Doberman Pinsch,Red/Brown,1.0,2013,12,0,18,51,16,True,4380.0,Geriatric,Intact Female,68.0,4.0,4.0,2.0,10.0,Cross,Short,firebrick,BiColor,3546
Maria,2013-10-06 11:36:00,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico,1.0,2013,10,6,11,40,6,True,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Medium,Not_clear,TriColor,3547
Lady,2014-09-03 15:10:00,Dog,Spayed Female,2 years,Labrador Retriever Mix,White,1.0,2014,9,2,15,36,3,False,730.0,Young Adult,Spayed Female,68.0,4.0,5.0,4.0,13.0,Mix,Short,white,Solid,3548
,2016-01-16 15:07:00,Dog,Unknown,1 week,Chihuahua Shorthair Mix,Cream,0.0,2016,1,5,15,2,16,True,7.0,Infant,Intact Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,tan,Solid,3549
Kola,2014-08-05 12:57:00,Dog,Spayed Female,5 years,Labrador Retriever/German Shepherd,Brown,1.0,2014,8,1,12,32,5,True,1825.0,Adult,Spayed Female,69.0,4.0,5.0,4.0,12.0,Cross,Short,brown,Solid,3550
Duke,2014-07-06 16:47:00,Dog,Neutered Male,1 year,Harrier Mix,Tricolor,1.0,2014,7,6,16,27,6,True,365.0,Puppy/Kitten,Neutered Male,53.0,4.0,2.0,4.0,13.0,Mix,Short,Not_clear,Solid,3551
,2014-04-26 12:03:00,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.0,2014,4,5,12,17,26,True,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,brown,Tabby,3552
Mabel,2014-09-22 17:46:00,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black,1.0,2014,9,0,17,39,22,False,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Medium,black,Solid,3553
Figment,2015-10-13 14:30:00,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,1.0,2015,10,1,14,42,13,False,365.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,Not_clear,TriColor,3554
,2014-08-16 09:00:00,Cat,Unknown,4 months,Domestic Shorthair Mix,Orange Tabby,0.0,2014,8,5,9,33,16,True,124.0,Infant,Intact Male,9.0,1.0,3.0,3.0,15.0,Mix,Short,orange,Tabby,3555
,2015-01-18 20:03:00,Dog,Neutered Male,1 year,Rat Terrier Mix,Brown/White,0.0,2015,1,6,20,3,18,True,365.0,Puppy/Kitten,Neutered Male,24.0,3.0,3.0,3.0,17.0,Mix,Short,rosybrown,BiColor,3556
,2014-10-28 18:02:00,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby,0.0,2014,10,1,18,44,28,False,21.0,Infant,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,grey,Tabby,3557
Kane,2014-03-10 17:08:00,Dog,Neutered Male,8 years,Pit Bull Mix,Brown/White,1.0,2014,3,0,17,11,10,False,2920.0,Senior,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Medium,rosybrown,BiColor,3558
Zachary,2015-06-30 14:51:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,1.0,2015,6,1,14,27,30,False,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,grey,BiColor,3559
King,2013-10-07 13:08:00,Dog,Neutered Male,4 years,Pit Bull,Brown Brindle/White,1.0,2013,10,0,13,41,7,False,1460.0,Adult,Neutered Male,60.0,4.0,3.0,2.0,12.0,Pure,Long,rosybrown,TriColor,3560
Little Bit,2014-11-22 18:10:00,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tan,1.0,2014,11,5,18,47,22,True,62.0,Infant,Spayed Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,tan,Solid,3561
,2014-05-04 11:14:00,Dog,Intact Male,2 months,American Staffordshire Terrier,Brown Brindle/White,0.0,2014,5,6,11,18,4,True,62.0,Infant,Intact Male,31.0,2.0,2.0,4.0,13.0,Pure,Long,rosybrown,TriColor,3562
Nikita,2015-01-08 17:05:00,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Brown,1.0,2015,1,3,17,2,8,True,730.0,Young Adult,Spayed Female,70.0,4.0,5.0,3.0,12.0,Mix,Short,maroon,BiColor,3563
Parker,2014-04-19 16:56:00,Dog,Neutered Male,1 year,Chihuahua Shorthair/Rat Terrier,Tan/White,1.0,2014,4,5,16,16,19,True,365.0,Puppy/Kitten,Neutered Male,15.0,2.0,3.0,3.0,16.0,Cross,Short,wheat,BiColor,3564
Sancho,2015-07-03 13:24:00,Dog,Neutered Male,4 years,American Bulldog Mix,White/Black Brindle,1.0,2015,7,4,13,27,3,True,1460.0,Adult,Neutered Male,45.0,3.0,2.0,3.0,10.0,Mix,Short,grey,TriColor,3565
Kyra,2015-01-07 13:26:00,Dog,Spayed Female,2 years,Boxer,Tan,1.0,2015,1,2,13,2,7,True,730.0,Young Adult,Spayed Female,60.0,4.0,4.0,3.0,9.0,Pure,Short,tan,Solid,3566
Remi,2014-06-18 15:01:00,Dog,Spayed Female,3 years,Brittany Mix,White/Red,1.0,2014,6,2,15,25,18,False,1095.0,Young Adult,Spayed Female,38.0,3.0,4.0,4.0,13.0,Mix,Short,salmon,BiColor,3567
Gail,2015-07-14 15:21:00,Cat,Spayed Female,2 months,Domestic Longhair Mix,Brown Tabby/White,1.0,2015,7,1,15,29,14,True,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,15.0,Mix,Long,rosybrown,Tabby,3568
,2014-06-22 16:09:00,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue/Gray,0.0,2014,6,6,16,25,22,True,28.0,Infant,Intact Male,9.0,1.0,3.0,3.0,13.0,Pure,Short,grey,BiColor,3569
,2014-07-16 09:00:00,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,0.0,2014,7,2,9,29,16,True,93.0,Infant,Intact Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,brown,Tabby,3570
Crystal,2014-01-31 12:50:00,Dog,Spayed Female,9 months,Chihuahua Shorthair/Cardigan Welsh Corgi,Black,1.0,2014,1,4,12,5,31,True,279.0,Puppy/Kitten,Spayed Female,19.0,2.0,4.0,3.0,15.0,Cross,Short,black,Solid,3571
Charlie,2014-01-26 18:20:00,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan/White,1.0,2014,1,6,18,4,26,True,365.0,Puppy/Kitten,Neutered Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,wheat,BiColor,3572
,2015-05-17 16:02:00,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie,0.0,2015,5,6,16,20,17,True,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,10.0,Mix,Short,Not_clear,TriColor,3573
Coco,2014-09-10 18:29:00,Dog,Spayed Female,2 years,Rat Terrier/Chihuahua Shorthair,Tricolor,1.0,2014,9,2,18,37,10,False,730.0,Young Adult,Spayed Female,15.0,2.0,3.0,3.0,16.0,Cross,Short,Not_clear,Solid,3574
,2014-09-10 18:11:00,Dog,Spayed Female,10 months,Yorkshire Terrier Mix,Black/Tan,0.0,2014,9,2,18,37,10,False,310.0,Puppy/Kitten,Spayed Female,6.0,1.0,3.0,3.0,14.0,Mix,Long,darkolivegreen,BiColor,3575
Jayde,2015-10-02 17:28:00,Dog,Spayed Female,5 months,Pit Bull Mix,Fawn/White,1.0,2015,10,4,17,40,2,False,155.0,Infant,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,wheat,BiColor,3576
Killer,2015-07-25 17:14:00,Dog,Intact Male,1 year,Bull Terrier Mix,Brown Brindle/White,1.0,2015,7,5,17,30,25,True,365.0,Puppy/Kitten,Intact Male,45.0,3.0,2.0,3.0,12.0,Mix,Short,rosybrown,TriColor,3577
Precious,2015-08-09 15:18:00,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,1.0,2015,8,6,15,32,9,True,730.0,Young Adult,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,wheat,BiColor,3578
Bonnie,2014-12-21 18:20:00,Dog,Spayed Female,2 months,German Shepherd/Labrador Retriever,Black/White,1.0,2014,12,6,18,51,21,True,62.0,Infant,Spayed Female,69.0,4.0,5.0,4.0,12.0,Cross,Short,grey,BiColor,3579
Leela,2013-10-24 15:29:00,Dog,Intact Female,4 years,Norfolk Terrier Mix,Apricot,1.0,2013,10,3,15,43,24,False,1460.0,Adult,Intact Female,12.0,1.0,1.0,3.0,14.0,Mix,Short,orange,Solid,3580
Amos,2014-07-04 18:41:00,Dog,Neutered Male,5 months,Plott Hound/Pit Bull,Brown Brindle,1.0,2014,7,4,18,27,4,True,155.0,Infant,Neutered Male,56.0,4.0,4.0,2.0,12.0,Cross,Short,brown,TriColor,3581
,2015-06-07 12:36:00,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Orange Tabby/White,0.0,2015,6,6,12,23,7,True,7.0,Infant,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,khaki,Tabby,3582
Ottilia,2016-01-16 16:46:00,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/White,1.0,2016,1,5,16,2,16,True,730.0,Young Adult,Intact Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,grey,BiColor,3583
Jack,2014-05-19 12:11:00,Dog,Neutered Male,8 years,Parson Russell Terrier Mix,White/Brown,1.0,2014,5,0,12,21,19,False,2920.0,Senior,Neutered Male,15.0,2.0,5.0,3.0,14.0,Mix,Short,rosybrown,BiColor,3584
Max,2015-04-02 13:51:00,Dog,Neutered Male,1 year,Catahoula,Brown Merle/White,1.0,2015,4,3,13,14,2,False,365.0,Puppy/Kitten,Neutered Male,45.0,4.0,3.0,4.0,16.0,Pure,Short,rosybrown,Merle,3585
Robin,2014-04-17 18:29:00,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Tan,1.0,2014,4,3,18,16,17,False,365.0,Puppy/Kitten,Neutered Male,70.0,4.0,5.0,3.0,12.0,Mix,Short,darkolivegreen,BiColor,3586
Bobo,2014-07-07 17:54:00,Dog,Neutered Male,1 year,German Shepherd/Labrador Retriever,Sable/Tan,1.0,2014,7,0,17,28,7,True,365.0,Puppy/Kitten,Neutered Male,69.0,4.0,5.0,4.0,12.0,Cross,Short,indianred,BiColor,3587
Smokey,2014-09-09 13:37:00,Dog,Neutered Male,2 years,Pit Bull Mix,Gray/White,1.0,2014,9,1,13,37,9,False,730.0,Young Adult,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,silver,BiColor,3588
,2014-12-07 18:29:00,Dog,Neutered Male,8 months,Flat Coat Retriever/Chow Chow,Black,0.0,2014,12,6,18,49,7,True,248.0,Puppy/Kitten,Neutered Male,60.0,4.0,4.0,3.0,13.0,Cross,Short,black,Solid,3589
Cash,2015-01-04 18:51:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,1.0,2015,1,6,18,1,4,True,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,black,Solid,3590
Brownie,2013-11-28 10:41:00,Dog,Spayed Female,4 years,German Shepherd Mix,Brown/White,1.0,2013,11,3,10,48,28,True,1460.0,Adult,Spayed Female,70.0,4.0,5.0,3.0,12.0,Mix,Short,rosybrown,BiColor,3591
Emma,2014-06-01 17:15:00,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,1.0,2014,6,6,17,22,1,True,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,Not_clear,TriColor,3592
Luke,2015-07-08 18:26:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,1.0,2015,7,2,18,28,8,True,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,rosybrown,Tabby,3593
Gypsy,2016-02-13 18:58:00,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black,1.0,2016,2,5,18,6,13,True,31.0,Infant,Spayed Female,68.0,4.0,5.0,4.0,13.0,Mix,Short,black,Solid,3594
Sallie,2015-10-17 11:48:00,Cat,Spayed Female,3 years,Domestic Longhair Mix,Orange Tabby,1.0,2015,10,5,11,42,17,True,1095.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,14.0,Mix,Long,orange,Tabby,3595
,2015-01-02 14:09:00,Cat,Intact Female,6 days,Domestic Shorthair Mix,Tortie,0.0,2015,1,4,14,1,2,True,6.0,Infant,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,Not_clear,TriColor,3596
Ava,2015-10-18 00:00:00,Cat,Spayed Female,6 years,Domestic Medium Hair Mix,Tortie,1.0,2015,10,6,0,42,18,True,2190.0,Adult,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Medium,Not_clear,TriColor,3597
Tigger,2015-11-11 11:36:00,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle,1.0,2015,11,2,11,46,11,True,730.0,Young Adult,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,brown,TriColor,3598
Teddy,2014-12-02 14:29:00,Cat,Neutered Male,3 months,Domestic Longhair Mix,Orange Tabby,1.0,2014,12,1,14,49,2,True,93.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,14.0,Mix,Long,orange,Tabby,3599
Matt,2014-03-28 11:44:00,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,1.0,2014,3,4,11,13,28,False,31.0,Infant,Intact Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,black,Solid,3600
Rocky,2014-10-27 11:11:00,Dog,Neutered Male,3 years,Yorkshire Terrier Mix,Silver/Tan,1.0,2014,10,0,11,44,27,False,1095.0,Young Adult,Neutered Male,6.0,1.0,3.0,3.0,14.0,Mix,Short,tan,BiColor,3601
Trina,2014-01-14 18:43:00,Dog,Spayed Female,2 years,Pit Bull Mix,White,1.0,2014,1,1,18,3,14,True,730.0,Young Adult,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,white,Solid,3602
Hunter,2014-04-23 16:03:00,Dog,Neutered Male,3 years,Pit Bull/Boxer,Red/White,1.0,2014,4,2,16,17,23,False,1095.0,Young Adult,Neutered Male,60.0,4.0,4.0,2.0,10.0,Cross,Short,salmon,BiColor,3603
Archie,2015-08-18 17:12:00,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,1.0,2015,8,1,17,34,18,True,124.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,orange,Tabby,3604
Pom Pom,2014-01-30 12:51:00,Dog,Spayed Female,6 years,Chow Chow Mix,Tan/White,1.0,2014,1,3,12,5,30,True,2190.0,Adult,Spayed Female,55.0,3.0,2.0,2.0,14.0,Mix,Short,wheat,BiColor,3605
Orion,2015-10-07 14:22:00,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,1.0,2015,10,2,14,41,7,False,31.0,Infant,Intact Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,black,Solid,3606
Astrid,2015-10-11 18:49:00,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/Red Tick,1.0,2015,10,6,18,41,11,True,365.0,Puppy/Kitten,Spayed Female,68.0,4.0,5.0,4.0,13.0,Mix,Short,tomato,BiColor,3607
Bo,2014-06-18 15:02:00,Dog,Neutered Male,11 years,Nova Scotia Duck Tolling Retriever,Tan,1.0,2014,6,2,15,25,18,False,4015.0,Geriatric,Neutered Male,43.0,3.0,5.0,4.0,13.0,Pure,Short,tan,Solid,3608
Patches,2015-03-24 13:17:00,Dog,Intact Male,4 years,Great Dane,Black/White,1.0,2015,3,1,13,13,24,False,1460.0,Adult,Intact Male,150.0,5.0,3.0,4.0,9.0,Pure,Long,grey,BiColor,3609
Willow,2015-01-11 14:21:00,Cat,Spayed Female,2 years,Domestic Longhair Mix,Black,1.0,2015,1,6,14,2,11,True,730.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,14.0,Mix,Long,black,Solid,3610
Pee Wee,2015-03-14 12:18:00,Dog,Spayed Female,6 years,Miniature Schnauzer Mix,Brown/White,1.0,2015,3,5,12,11,14,True,2190.0,Adult,Spayed Female,16.0,2.0,4.0,3.0,13.0,Mix,Short,rosybrown,BiColor,3611
,2015-03-13 09:00:00,Cat,Intact Male,4 years,Domestic Shorthair Mix,Blue/White,0.0,2015,3,4,9,11,13,False,1460.0,Adult,Intact Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,silver,BiColor,3612
Ernie,2015-07-20 15:51:00,Dog,Neutered Male,2 years,Pointer Mix,White/Black,1.0,2015,7,0,15,30,20,True,730.0,Young Adult,Neutered Male,59.0,4.0,4.0,3.0,14.0,Mix,Short,grey,BiColor,3613
Marshall,2015-06-28 12:32:00,Dog,Neutered Male,3 years,Border Collie Mix,White/Black,1.0,2015,6,6,12,26,28,True,1095.0,Young Adult,Neutered Male,38.0,3.0,5.0,3.0,14.0,Mix,Medium,grey,BiColor,3614
Bella,2014-04-23 16:55:00,Dog,Intact Female,2 years,Great Pyrenees,White,1.0,2014,4,2,16,17,23,False,730.0,Young Adult,Intact Female,100.0,5.0,2.0,3.0,11.0,Pure,Short,white,Solid,3615
