OutcomeType,type,HasName,Year,Month,Weekday,Hour,WeekofYear,DayofMonth,isHoliday,AgeInDaysCategorical,LifeStage,BernoulliSex,AvgWeight(pounds),SizeScore(1to5),Intelligent,Friendliness,MixType,Hair,ReducedPattern,BlendedColor
2,0,0,0,6,4,4,48,19,0,0.0,0.0,0,6.0,1.0,2.0,1.0,0,?,0,3.0
2,0,0,2,10,6,0,39,12,1,8.0,2.0,0,17.0,2.0,2.0,0.0,1,?,0,3.0
1,1,1,2,11,2,11,15,18,1,14.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,0,4.0
0,0,0,0,11,2,0,37,23,1,1.0,1.0,1,64.0,0.0,1.0,4.0,0,?,3,0.0
3,1,1,2,9,1,7,11,22,1,20.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,0,0,0,10,3,0,49,10,0,4.0,2.0,0,13.0,2.0,0.0,0.0,0,?,0,4.0
2,0,1,1,1,5,4,21,18,0,26.0,0.0,0,13.0,2.0,0.0,0.0,0,?,2,5.0
1,0,0,1,1,0,6,19,7,0,13.0,1.0,0,7.0,3.0,0.0,2.0,0,?,0,9.0
0,0,0,2,6,5,8,48,9,0,0.0,0.0,2,27.0,0.0,0.0,0.0,0,?,0,0.0
2,1,0,2,3,6,0,46,30,1,8.0,2.0,2,1.0,1.0,1.0,1.0,0,2.0,1,0.0
3,0,1,0,6,1,7,6,7,1,13.0,1.0,1,2.0,2.0,2.0,1.0,2,?,0,9.0
3,0,0,1,4,6,1,4,3,1,1.0,1.0,0,3.0,0.0,2.0,1.0,0,?,0,0.0
3,1,1,2,3,3,11,3,27,1,13.0,1.0,2,1.0,1.0,1.0,1.0,0,1.0,1,0.0
1,0,1,2,0,4,0,8,10,0,11.0,3.0,0,11.0,2.0,0.0,0.0,0,?,0,9.0
2,0,0,2,11,6,3,34,9,1,17.0,3.0,1,6.0,1.0,2.0,1.0,2,1.0,2,1.0
3,1,1,2,3,3,8,26,9,1,35.0,2.0,2,1.0,1.0,1.0,1.0,2,1.0,1,4.0
1,0,1,1,1,5,0,19,28,0,3.0,2.0,3,6.0,1.0,2.0,1.0,0,2.0,2,5.0
2,0,0,0,11,4,3,34,12,1,9.0,0.0,1,97.0,5.0,2.0,1.0,1,?,0,0.0
2,0,0,1,1,1,0,44,30,1,14.0,2.0,0,2.0,2.0,2.0,2.0,0,?,0,10.0
0,0,0,0,8,5,4,9,21,1,16.0,4.0,1,11.0,2.0,0.0,0.0,0,?,0,6.0
2,0,1,2,7,2,4,50,23,1,1.0,1.0,0,?,?,?,?,0,?,2,5.0
1,0,0,2,9,2,6,29,24,1,11.0,3.0,0,2.0,2.0,2.0,2.0,0,?,3,16.0
2,0,0,3,0,6,7,0,4,1,0.0,0.0,1,20.0,2.0,2.0,1.0,0,?,0,4.0
2,1,1,2,8,2,6,30,0,1,3.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,11.0
3,0,0,1,4,3,1,12,28,1,1.0,1.0,0,4.0,1.0,2.0,1.0,2,?,0,0.0
2,0,0,0,9,2,9,11,22,1,12.0,4.0,1,13.0,2.0,0.0,0.0,0,?,2,5.0
2,1,0,0,11,2,1,34,16,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,0,1,2,5,4,4,28,21,0,1.0,1.0,2,30.0,1.0,1.0,0.0,2,?,3,0.0
2,0,1,0,6,6,9,48,9,0,14.0,2.0,1,38.0,5.0,0.0,1.0,0,?,0,4.0
2,0,0,0,8,5,0,30,16,1,1.0,1.0,0,45.0,0.0,1.0,1.0,1,?,0,0.0
2,0,1,2,6,3,3,42,30,0,0.0,0.0,1,31.0,0.0,2.0,0.0,1,?,0,0.0
0,0,0,2,2,0,0,31,17,1,25.0,0.0,0,68.0,5.0,0.0,1.0,1,?,2,1.0
3,1,1,0,2,5,6,31,17,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
3,0,0,0,0,2,12,8,11,1,11.0,3.0,2,60.0,1.0,1.0,1.0,2,?,0,6.0
1,1,1,0,11,5,12,18,0,1,27.0,5.0,0,1.0,1.0,1.0,1.0,0,3.0,2,4.0
0,0,0,2,9,5,4,11,16,0,1.0,1.0,1,?,?,?,?,0,?,5,2.0
3,1,1,0,5,2,6,5,25,1,2.0,2.0,3,1.0,1.0,1.0,1.0,0,3.0,3,?
0,0,0,2,9,6,2,29,29,0,22.0,4.0,1,27.0,0.0,0.0,0.0,2,?,0,0.0
2,1,0,2,3,2,9,25,15,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,2.0,6,8.0
2,0,0,0,7,6,4,35,10,0,1.0,1.0,0,73.0,3.0,2.0,1.0,0,?,0,4.0
3,1,1,2,3,1,7,46,25,1,7.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,0,0,10,1,4,49,12,1,14.0,2.0,0,13.0,2.0,0.0,0.0,0,?,2,8.0
2,1,1,2,3,2,14,25,15,1,3.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
2,1,1,0,11,1,1,18,13,1,6.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
0,0,0,0,10,4,3,17,15,0,17.0,3.0,0,90.0,5.0,0.0,0.0,1,?,2,5.0
2,1,0,2,3,3,0,46,20,1,6.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,1,1,0,4,5,11,12,5,0,26.0,0.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
4,0,1,0,2,3,9,45,9,1,6.0,2.0,3,2.0,2.0,2.0,2.0,1,?,2,15.0
2,0,1,0,0,1,4,0,26,1,1.0,1.0,0,11.0,2.0,0.0,0.0,2,?,0,18.0
3,1,1,0,7,4,8,14,4,0,24.0,2.0,3,1.0,1.0,1.0,1.0,0,3.0,3,?
3,1,1,0,1,0,7,1,11,0,8.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,5.0
0,0,0,2,0,0,9,8,8,0,28.0,4.0,0,27.0,0.0,0.0,0.0,0,?,0,0.0
3,1,1,0,11,6,11,18,3,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,1,0,0,3,2,2,3,0,1,6.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,11.0
3,0,1,2,9,3,9,11,0,0,3.0,2.0,3,13.0,2.0,0.0,0.0,0,?,2,8.0
2,1,0,0,8,2,0,41,24,1,3.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,0,2,7,2,2,35,16,1,0.0,0.0,1,11.0,2.0,0.0,0.0,0,?,2,8.0
0,0,0,2,5,6,1,47,1,0,11.0,3.0,0,19.0,0.0,2.0,1.0,0,?,2,15.0
3,0,1,0,5,6,6,7,6,0,1.0,1.0,0,19.0,0.0,2.0,1.0,0,?,5,4.0
0,0,0,2,11,5,9,18,3,1,40.0,5.0,0,64.0,0.0,1.0,4.0,2,?,0,4.0
0,0,0,2,2,2,0,45,9,1,26.0,0.0,1,68.0,5.0,2.0,1.0,1,?,3,0.0
2,0,0,0,8,6,5,45,28,1,0.0,0.0,0,11.0,2.0,0.0,0.0,0,?,0,3.0
0,0,0,0,7,1,4,35,3,1,5.0,3.0,1,5.0,0.0,1.0,0.0,2,?,2,8.0
2,1,0,2,8,2,4,30,0,1,6.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
2,0,1,2,9,3,4,11,0,0,8.0,2.0,0,11.0,2.0,0.0,0.0,0,?,0,3.0
0,0,0,3,0,4,4,2,8,0,12.0,4.0,3,2.0,2.0,2.0,2.0,0,?,0,4.0
3,1,1,0,11,2,11,15,21,1,23.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
2,1,1,0,11,4,4,33,6,1,8.0,2.0,1,1.0,1.0,1.0,1.0,0,?,4,?
1,0,0,0,3,1,1,25,30,1,13.0,1.0,0,2.0,2.0,2.0,2.0,0,?,3,0.0
2,1,0,1,1,2,4,21,10,1,6.0,2.0,1,1.0,1.0,1.0,1.0,0,3.0,1,5.0
3,0,1,1,8,3,8,9,19,1,3.0,2.0,2,7.0,3.0,0.0,2.0,0,?,0,4.0
2,1,0,2,4,2,2,23,17,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,?,4,12.0
3,0,0,2,8,1,7,9,19,1,10.0,0.0,2,29.0,5.0,0.0,1.0,0,?,0,4.0
2,0,0,3,2,5,8,16,14,1,13.0,1.0,0,3.0,0.0,2.0,0.0,1,?,2,8.0
3,1,1,0,11,3,4,34,11,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
3,1,0,0,10,4,7,17,15,0,11.0,3.0,0,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,1,0,0,8,3,3,41,25,1,6.0,2.0,0,1.0,1.0,1.0,1.0,0,?,4,5.0
2,1,0,0,7,0,3,32,6,0,5.0,3.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
1,1,1,2,0,5,7,52,20,0,0.0,0.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,1,0,2,8,5,10,41,29,1,14.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,0,1,2,4,0,0,10,8,0,8.0,2.0,0,92.0,5.0,0.0,0.0,1,?,0,0.0
3,0,0,0,8,0,9,9,9,1,1.0,1.0,1,44.0,0.0,2.0,0.0,0,?,2,15.0
2,0,0,0,0,0,4,52,25,0,8.0,2.0,1,56.0,5.0,2.0,1.0,0,?,2,1.0
2,0,0,2,4,2,0,4,22,1,11.0,3.0,1,30.0,1.0,2.0,1.0,1,1.0,0,6.0
2,1,1,2,10,5,4,49,18,0,8.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,1,4.0
3,1,0,2,1,5,1,44,1,0,4.0,2.0,1,1.0,1.0,1.0,1.0,0,3.0,0,4.0
0,0,0,2,10,5,3,49,18,0,12.0,4.0,0,27.0,0.0,0.0,1.0,2,?,0,0.0
2,1,0,3,2,2,9,16,23,1,22.0,4.0,0,1.0,1.0,1.0,1.0,0,1.0,1,12.0
3,1,1,0,8,5,11,9,21,1,14.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,0,0,2,6,5,9,6,20,0,1.0,1.0,0,34.0,2.0,2.0,0.0,1,?,2,14.0
1,0,0,0,11,3,4,33,28,1,13.0,1.0,1,2.0,2.0,2.0,2.0,0,?,0,4.0
2,0,1,0,1,3,4,19,2,1,6.0,2.0,1,2.0,2.0,2.0,2.0,0,?,0,2.0
3,1,0,2,9,2,1,40,30,1,9.0,0.0,3,1.0,1.0,1.0,1.0,0,?,4,?
2,1,0,2,11,2,0,15,18,1,0.0,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
0,0,0,0,0,1,0,51,23,1,11.0,3.0,0,38.0,5.0,0.0,1.0,0,?,2,?
2,1,0,0,1,2,9,44,15,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,0,1,0,9,4,2,40,14,1,4.0,2.0,2,5.0,0.0,0.0,1.0,0,?,0,10.0
2,1,0,0,3,1,2,3,1,1,8.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,0,3,0,6,4,0,4,1,25.0,0.0,1,16.0,2.0,2.0,1.0,2,?,3,0.0
3,0,0,0,8,3,4,43,14,1,11.0,3.0,0,33.0,5.0,2.0,0.0,0,?,0,4.0
3,1,1,0,6,1,0,36,26,1,18.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,0,0,2,7,3,4,14,4,0,8.0,2.0,0,13.0,2.0,0.0,0.0,0,?,0,4.0
0,0,0,0,11,1,6,33,2,1,28.0,4.0,3,25.0,5.0,0.0,1.0,0,?,2,5.0
2,1,0,2,10,4,4,39,27,0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,0,0,2,10,1,6,39,1,1,1.0,1.0,1,33.0,5.0,2.0,0.0,0,?,0,10.0
1,1,1,2,7,4,7,50,17,0,3.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,0,4.0
3,1,0,2,1,0,3,1,12,0,0.0,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1,11.0
3,0,1,0,4,5,3,12,5,0,11.0,3.0,1,19.0,0.0,2.0,1.0,2,?,2,15.0
0,0,0,2,11,3,9,33,6,1,1.0,1.0,0,?,?,?,?,0,?,5,20.0
2,1,0,2,10,3,3,17,15,0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1,12.0
3,1,1,0,11,2,0,18,26,1,2.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,5.0
0,0,0,1,4,3,4,4,4,0,1.0,1.0,1,25.0,5.0,4.0,1.0,2,?,3,0.0
0,1,0,2,2,5,6,16,1,1,5.0,3.0,0,1.0,1.0,1.0,1.0,0,?,4,12.0
3,1,0,2,10,4,7,49,9,0,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
3,0,0,0,2,6,6,31,30,1,17.0,3.0,1,2.0,2.0,2.0,1.0,0,?,3,0.0
2,0,0,0,10,1,0,49,12,1,14.0,2.0,0,37.0,5.0,1.0,1.0,0,?,0,10.0
2,0,1,0,2,4,1,2,7,1,14.0,2.0,1,52.0,5.0,4.0,1.0,0,?,0,0.0
2,0,1,2,4,1,0,12,28,1,1.0,1.0,1,33.0,5.0,2.0,0.0,0,?,2,?
2,0,1,0,5,3,11,28,8,0,8.0,2.0,1,6.0,1.0,2.0,1.0,0,1.0,0,16.0
2,0,0,1,4,1,9,10,27,1,8.0,2.0,0,8.0,2.0,0.0,4.0,0,?,2,14.0
2,1,0,3,0,2,8,8,1,1,6.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
2,1,0,0,3,5,1,26,18,1,8.0,2.0,1,1.0,1.0,1.0,1.0,0,2.0,3,?
0,0,0,2,5,5,6,20,12,0,5.0,3.0,2,2.0,2.0,2.0,2.0,0,?,0,0.0
3,0,0,2,0,4,8,52,25,0,1.0,1.0,0,6.0,1.0,2.0,1.0,0,1.0,2,?
1,0,1,2,3,5,12,3,12,1,16.0,4.0,3,0.0,0.0,0.0,0.0,0,?,2,5.0
2,0,0,1,1,4,4,19,2,1,0.0,0.0,0,19.0,0.0,2.0,1.0,1,?,0,21.0
2,0,0,0,9,5,9,40,13,0,1.0,1.0,0,6.0,1.0,2.0,1.0,0,1.0,2,5.0
3,1,0,0,0,5,3,0,3,0,12.0,4.0,1,1.0,1.0,1.0,1.0,0,1.0,3,5.0
0,0,0,2,5,0,0,20,11,0,0.0,0.0,0,25.0,5.0,0.0,1.0,0,?,2,15.0
2,0,0,2,7,2,1,35,16,1,3.0,2.0,0,15.0,2.0,2.0,0.0,1,?,0,4.0
3,1,0,2,9,5,2,29,23,0,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,1,0.0
3,0,0,2,1,6,1,44,0,1,3.0,2.0,3,6.0,1.0,2.0,1.0,0,1.0,2,1.0
0,0,0,3,2,5,0,22,0,1,1.0,1.0,0,45.0,0.0,0.0,1.0,0,?,0,6.0
3,0,0,0,1,6,3,27,30,0,0.0,0.0,2,25.0,2.0,0.0,0.0,1,?,0,4.0
2,0,0,0,4,1,0,23,23,1,3.0,2.0,0,32.0,1.0,2.0,1.0,1,1.0,0,16.0
2,0,1,2,4,0,1,23,15,0,3.0,2.0,0,19.0,0.0,2.0,1.0,0,?,0,3.0
0,0,0,0,11,3,0,37,29,1,13.0,1.0,0,19.0,0.0,2.0,1.0,2,2.0,0,3.0
2,0,0,0,9,2,3,29,6,1,1.0,1.0,1,6.0,1.0,2.0,1.0,0,1.0,0,4.0
2,1,0,2,7,2,0,7,21,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,0,0,0,0,3,0,51,17,0,10.0,0.0,1,24.0,2.0,0.0,0.0,1,?,0,9.0
2,0,0,0,6,4,3,36,1,0,0.0,0.0,0,16.0,2.0,0.0,0.0,0,?,0,3.0
0,0,0,0,7,2,1,7,9,1,5.0,3.0,1,13.0,2.0,0.0,0.0,0,?,2,5.0
3,0,0,2,11,5,8,37,15,1,13.0,1.0,2,5.0,0.0,1.0,0.0,2,?,2,1.0
3,1,1,0,3,3,11,3,3,1,14.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,2,4.0
3,0,1,0,7,3,9,14,26,0,15.0,5.0,0,69.0,1.0,1.0,0.0,2,?,0,19.0
1,0,0,0,11,0,4,33,24,1,6.0,2.0,2,2.0,2.0,2.0,1.0,0,?,0,10.0
2,1,0,0,4,6,9,10,9,0,8.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
3,1,0,2,1,4,7,27,29,0,22.0,4.0,1,1.0,1.0,1.0,1.0,0,1.0,0,4.0
3,1,1,2,5,1,11,47,14,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,3.0,1,5.0
2,0,0,1,8,6,1,41,23,1,23.0,0.0,0,6.0,1.0,2.0,1.0,0,1.0,2,1.0
2,0,0,2,4,3,9,12,24,1,11.0,3.0,2,13.0,2.0,0.0,0.0,0,?,2,14.0
3,1,0,3,2,3,7,16,29,1,10.0,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1,1.0
3,1,1,2,3,1,11,3,0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,0,3.0,1,4.0
1,1,0,0,3,2,6,3,0,1,22.0,4.0,0,1.0,1.0,1.0,1.0,0,?,0,2.0
3,1,0,2,4,6,4,10,21,0,3.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,1,0,0,5,1,3,28,19,1,11.0,3.0,1,1.0,1.0,1.0,1.0,0,1.0,0,2.0
0,0,0,2,2,0,5,22,12,1,1.0,1.0,0,7.0,3.0,0.0,2.0,0,?,0,3.0
0,0,0,0,6,5,2,42,15,0,12.0,4.0,2,52.0,5.0,4.0,1.0,0,?,0,10.0
0,0,0,0,0,6,0,8,9,0,1.0,1.0,0,8.0,2.0,0.0,4.0,2,?,2,14.0
3,1,1,2,10,3,1,39,3,0,35.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,1,0,0,0,1,7,2,21,1,16.0,4.0,0,1.0,1.0,1.0,1.0,0,1.0,1,12.0
3,0,0,1,4,4,3,4,22,0,16.0,4.0,1,0.0,0.0,1.0,0.0,0,?,2,?
3,1,1,0,7,5,3,14,1,0,29.0,6.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,1,0,2,8,3,1,9,8,1,10.0,0.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
2,0,0,1,4,2,6,12,7,1,1.0,1.0,1,30.0,1.0,2.0,1.0,1,1.0,2,15.0
0,0,0,3,0,6,0,2,18,0,0.0,0.0,3,2.0,2.0,2.0,2.0,0,?,0,4.0
3,1,1,0,7,5,8,50,30,0,7.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,12.0
3,0,1,2,1,0,13,1,12,0,8.0,2.0,3,25.0,5.0,0.0,1.0,0,?,0,0.0
3,1,1,0,9,3,2,13,19,0,0.0,0.0,1,1.0,1.0,1.0,1.0,0,1.0,1,12.0
3,0,0,2,10,3,3,39,3,0,17.0,3.0,0,13.0,2.0,0.0,0.0,0,?,2,5.0
0,0,0,2,2,2,1,31,20,1,5.0,3.0,2,2.0,2.0,2.0,2.0,0,?,0,4.0
1,1,1,0,2,3,4,16,13,1,34.0,2.0,3,1.0,1.0,1.0,1.0,0,3.0,1,5.0
2,0,0,2,4,2,4,23,17,1,0.0,0.0,0,6.0,1.0,2.0,1.0,1,2.0,0,10.0
3,0,0,2,0,4,7,51,14,0,0.0,0.0,1,25.0,5.0,0.0,1.0,1,?,5,4.0
2,0,0,2,3,5,1,25,22,1,11.0,3.0,0,6.0,1.0,2.0,1.0,0,1.0,0,0.0
2,0,0,0,7,5,4,50,30,0,9.0,0.0,0,30.0,1.0,2.0,1.0,1,1.0,3,0.0
4,1,1,0,9,1,1,13,11,1,20.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
1,1,0,1,4,3,7,19,18,0,5.0,3.0,1,1.0,1.0,1.0,1.0,0,3.0,1,2.0
3,0,1,2,9,2,6,11,1,1,35.0,2.0,2,11.0,2.0,0.0,0.0,0,?,0,4.0
0,0,0,0,3,1,4,46,24,1,0.0,0.0,1,3.0,0.0,0.0,0.0,0,?,2,1.0
2,0,0,1,4,6,9,12,5,0,1.0,1.0,0,42.0,2.0,2.0,1.0,1,?,2,5.0
2,1,0,2,4,1,6,23,29,1,16.0,4.0,1,1.0,1.0,1.0,1.0,0,1.0,0,4.0
0,0,0,1,4,1,1,4,13,1,23.0,0.0,2,12.0,0.0,2.0,1.0,0,?,0,2.0
3,1,1,0,1,4,0,44,26,0,2.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
3,1,0,0,3,5,3,46,29,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,1,0,0,7,2,3,32,2,1,3.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,11.0
3,1,0,3,0,5,9,8,16,0,1.0,1.0,1,1.0,1.0,1.0,1.0,0,1.0,1,5.0
0,0,0,0,8,2,4,41,24,1,0.0,0.0,1,13.0,2.0,0.0,0.0,2,?,0,4.0
1,1,1,0,5,4,1,47,13,0,3.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,3,7.0
1,0,0,1,1,3,11,44,15,0,1.0,1.0,0,2.0,2.0,2.0,2.0,0,?,3,0.0
1,1,1,2,9,3,6,11,0,0,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,0,2.0
2,0,1,1,8,6,2,41,23,1,8.0,2.0,0,44.0,0.0,2.0,0.0,0,?,2,5.0
3,0,0,3,2,5,10,45,10,1,1.0,1.0,0,13.0,2.0,0.0,0.0,0,?,2,5.0
0,0,0,2,1,2,8,1,27,1,0.0,0.0,2,52.0,5.0,4.0,1.0,0,?,0,0.0
3,1,0,2,8,4,6,43,13,1,17.0,3.0,0,1.0,1.0,1.0,1.0,0,3.0,0,4.0
0,0,0,0,6,2,3,48,11,1,1.0,1.0,0,11.0,2.0,0.0,0.0,2,?,0,3.0
2,0,0,2,7,1,3,14,13,1,8.0,2.0,1,13.0,2.0,0.0,0.0,0,?,0,4.0
2,1,0,0,3,2,6,46,25,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,1,1,0,1,6,4,1,19,0,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,4.0
3,1,1,0,0,6,7,0,27,0,1.0,1.0,3,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,1,1,0,11,5,11,33,25,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,2,4.0
2,0,0,2,5,5,6,20,12,0,9.0,0.0,1,2.0,2.0,2.0,2.0,0,?,0,0.0
0,0,0,0,8,4,0,30,3,1,5.0,3.0,2,2.0,2.0,2.0,1.0,0,?,3,5.0
3,0,1,2,4,4,4,23,14,0,4.0,2.0,3,6.0,1.0,2.0,1.0,0,1.0,2,1.0
3,0,1,0,3,6,0,46,17,1,2.0,2.0,3,13.0,2.0,0.0,0.0,0,?,0,4.0
3,0,0,0,9,5,1,13,9,0,13.0,1.0,1,11.0,2.0,0.0,0.0,0,?,0,9.0
3,0,1,0,5,1,7,20,1,1,5.0,3.0,1,27.0,0.0,0.0,0.0,0,?,2,7.0
2,1,0,2,10,6,0,38,17,0,6.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,12.0
3,1,1,2,7,4,1,35,12,0,3.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,12.0
2,1,1,2,7,5,4,32,25,0,8.0,2.0,0,1.0,1.0,1.0,1.0,0,3.0,1,0.0
1,1,1,2,10,0,6,39,16,0,1.0,1.0,3,1.0,1.0,1.0,1.0,0,1.0,0,2.0
2,0,0,2,10,2,3,39,0,1,28.0,4.0,1,10.0,2.0,1.0,1.0,1,?,3,0.0
3,0,0,2,5,6,4,7,24,0,1.0,1.0,3,60.0,1.0,2.0,0.0,0,?,2,15.0
2,0,0,0,11,5,6,33,25,1,0.0,0.0,0,2.0,2.0,2.0,2.0,0,?,0,10.0
3,0,0,1,1,6,8,44,22,1,0.0,0.0,0,2.0,2.0,2.0,2.0,0,?,0,4.0
1,1,1,2,0,2,12,52,6,1,22.0,4.0,3,1.0,1.0,1.0,1.0,0,2.0,3,?
2,0,0,2,8,0,9,43,26,1,11.0,3.0,0,6.0,1.0,2.0,1.0,0,1.0,3,14.0
2,1,0,3,2,5,4,16,14,1,14.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,0,0,0,10,3,1,49,10,0,1.0,1.0,3,38.0,5.0,0.0,1.0,0,?,5,5.0
3,1,1,0,7,1,4,50,5,1,1.0,1.0,3,1.0,1.0,1.0,1.0,0,2.0,1,12.0
3,1,1,2,0,1,4,51,29,1,0.0,0.0,2,1.0,1.0,1.0,1.0,0,1.0,1,0.0
2,0,0,2,11,1,8,33,7,1,3.0,2.0,0,6.0,1.0,2.0,1.0,0,1.0,0,9.0
3,0,0,0,5,5,9,47,4,0,4.0,2.0,0,42.0,2.0,2.0,1.0,1,?,2,8.0
3,1,1,0,1,4,0,44,26,0,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,12.0
2,1,0,2,11,4,2,37,30,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0,3.0,3,?
3,1,1,0,3,4,11,25,13,1,6.0,2.0,2,1.0,1.0,1.0,1.0,0,3.0,1,4.0
2,0,0,2,5,0,0,28,18,0,1.0,1.0,2,35.0,5.0,0.0,0.0,2,?,2,8.0
0,0,0,0,8,6,0,41,29,1,13.0,1.0,0,29.0,5.0,0.0,1.0,2,?,0,4.0
2,1,0,2,4,0,5,12,5,0,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,11.0
0,0,0,2,6,5,1,6,20,0,11.0,3.0,1,13.0,2.0,0.0,0.0,0,?,0,4.0
3,0,1,0,3,6,0,46,17,1,2.0,2.0,3,13.0,2.0,0.0,0.0,0,?,2,7.0
3,1,1,0,7,0,1,35,12,0,2.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,11.0
0,0,0,0,9,2,7,29,6,1,22.0,4.0,3,7.0,3.0,0.0,2.0,0,?,0,3.0
2,0,1,2,2,2,8,45,9,1,0.0,0.0,0,6.0,1.0,2.0,1.0,0,1.0,0,4.0
0,1,1,0,9,3,9,29,24,0,6.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,2,4.0
0,0,0,0,5,2,0,20,0,1,1.0,1.0,1,6.0,1.0,2.0,1.0,0,1.0,2,8.0
3,1,1,2,4,2,3,10,12,1,8.0,2.0,2,1.0,1.0,1.0,1.0,2,1.0,1,5.0
0,0,0,2,4,3,4,12,24,1,1.0,1.0,0,11.0,2.0,0.0,0.0,0,?,0,3.0
2,1,0,2,11,2,9,37,29,1,6.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
3,1,0,0,8,5,7,41,23,1,11.0,3.0,0,1.0,1.0,1.0,1.0,0,3.0,1,2.0
2,1,1,2,7,5,4,14,0,0,0.0,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1,10.0
0,0,0,0,9,4,1,11,0,0,15.0,5.0,1,32.0,1.0,0.0,0.0,0,?,0,4.0
3,1,0,1,8,5,1,41,20,1,4.0,2.0,0,1.0,1.0,1.0,1.0,0,3.0,0,4.0
0,0,0,0,5,6,1,7,6,0,0.0,0.0,1,2.0,2.0,2.0,2.0,0,?,0,16.0
